C1:1
C2:1
C3:1
C4:1
C5:1
D1:1
D2:1
FID3:1
FID4:1
G***:2
G4:1
J1:1
J2:1
J3:1
J4:1
JP1:1
JP2:1
JP3:1
JP6:1
JP7:1
KIBUZZARD-65A8A8B4:1
KIBUZZARD-67BF7EBF:1
KIBUZZARD-67BF7ED9:1
KIBUZZARD-67BF7F13:1
KIBUZZARD-67BF7F2F:1
KIBUZZARD-680E7A4B:1
KIBUZZARD-680E7A69:1
KIBUZZARD-680FC73E:1
KIBUZZARD-680FC883:1
KIBUZZARD-680FC897:1
KIBUZZARD-680FC89E:1
KIBUZZARD-680FC957:1
KIBUZZARD-680FC9DC:1
KIBUZZARD-680FCA02:1
KIBUZZARD-680FCA96:1
KIBUZZARD-680FCA9D:1
KIBUZZARD-680FCAD6:1
KIBUZZARD-680FCADD:1
KIBUZZARD-680FCAEB:1
KIBUZZARD-684C656A:1
KIBUZZARD-68518672:1
KIBUZZARD-6851867B:1
KIBUZZARD-6851871B:1
L1:1
R10:1
R11:1
R12:1
R3:1
R4:1
R5:1
R6:1
R7:1
R9:1
ST1:1
ST2:1
ST3:1
ST4:1
TP1:1
U2:1
U5:1
